id,Kategorie,Samen,Name,Preis,URL
1,Blumen,true,Husarenknöpfchen,2.99,https://assets.dehner.de/new_product_list_normal/husarenknpfchen/8817587_PR_FS_001_SonnenvitaliaDehnerExpressHerzig.jpg
2,Blumen,true,Portulakröschen,3.29,https://assets.dehner.de/new_product_list_normal/portulakrschen/8817199_WE_FS_001_PortulacaUmbraticolaT11.jpg
3,Blumen,true,Stehende Geranie,3.29,https://assets.dehner.de/new_product_list_normal/stehende-geranie-smokey-eye/8815201_WE_FS_001_GeranieSmokeyEyeT12.jpg
4,Blumen,true,Köcherblümchen,3.49,https://assets.dehner.de/new_product_list_normal/kcherblmchenduo/8811358_WE_FS_002_CupheaHyssopif_TwinT11.jpg
5,Blumen,true,Hängebegonie,4.99,https://assets.dehner.de/new_product_list_normal/hngebegonie-champagner/8809709_PR_FS_001_HaengeknollenbegonieChampagnerBegoniaPendulaT13redDehnerExpressHerzig.jpg
6,Blumen,true,Knollenbegonie,3.29,https://assets.dehner.de/new_product_list_normal/knollenbegonie-verschiedene-farben/8815110_WE_FS_001_KnollenbegonieBegoniaTuberhybridaT12OWDehnerExpressHerzig.jpg
7,Blumen,true,Strohblume,5.49,https://assets.dehner.de/new_product_list_normal/strohblume-gelb/8819765_WE_FS_001_Strohblume.jpg
8,Blumen,true,Sonnenblume,4.99,https://assets.dehner.de/new_product_list_normal/sonnenblume-sunbelievable/8823122_PR_FS_001_HelianthusSunbelievableSonnenblumeT14NeuheutDehnerExpressZS.jpg
9,Blumen,true,Dahlie,5.99,https://assets.dehner.de/new_product_list_normal/dahlie-dahlegria-tricolore/8823239_WE_FS_001_DahlieDahlegriaTricolor.jpg
10,Blumen,true,Goldmarie,3.29,https://assets.dehner.de/new_product_list_normal/goldmarie-golden-empire/8810038_WE_FS_001_GoldmarieBidensFerulifoliaGoldenEmpireT11_8821308T13Herzig.jpg
11,Blumen,true,Federbusch,3.29,https://assets.dehner.de/new_product_list_normal/federbusch-venezuela/8810657_WE_FS_001_CelosiaArgenteaVenezuela.jpg
12,Blumen,true,Goldtaler,3.49,https://assets.dehner.de/new_product_list_normal/goldtaler/8809394_BildFS_001_GoldtalerAsteriscusMarit.jpg
13,Rosen,true,Edelrose,22.99,https://assets.dehner.de/new_product_list_normal/edelrose-marlene/7988207_WE_DE_001_EdelroseMarlene.jpg
14,Rosen,true,Ramblerrose,22.99,https://assets.dehner.de/new_product_list_normal/ramblerrose-perennial-blue/7803307_WE_DE_002_RamblerrosePerennialBlueTantauLilaRosaViolettBlauret.jpg
15,Rosen,true,Bodendeckerrose,7.99,https://assets.dehner.de/new_product_list_normal/bodendeckerrose-yellow-fairy/7844186_WE_FS_001_BodendeckerroseFairy.jpg
16,Rosen,true,Beetrose,17.99,https://assets.dehner.de/new_product_list_normal/beetrose-bailando/7978406_WE_DE_001_BeetroseBailandoTantau.jpg
17,Rosen,false,Nostalgie-Edelrose,22.99,https://assets.dehner.de/new_product_list_normal/nostalgieedelrose-capri/7978406_WE_DE_001_EdelroseCapri.jpg
18,Rosen,false,Noblesse,17.99,https://assets.dehner.de/new_product_list_normal/noblesse-sprayrose-candy-rokoko/7988520_WE_DE_001_SprayroseCandyRokokoTantau.jpg
19,Rosen,false,Kletterrose,22.99,https://assets.dehner.de/new_product_list_normal/kletterrose-uetersener-klosterrose/7803232_WE_DE_001_KletterroseUetersenerKlosterroseTantauWeissDehner.jpg
20,Rosen,false,Strauchrose,22.99,https://assets.dehner.de/new_product_list_normal/strauchrose-sahara/7803273_WE_DE_002_StrauchroseSaharaTantauGoldgelbBronzerotRet.jpg
21,Rosen,false,Nostalgie-Strauchrose,22.99,https://assets.dehner.de/new_product_list_normal/nostalgiestrauchrose-soul/8294951_WE_DE_003_StrauchroseSoul.jpg
22,Rosen,false,Hunds-Rose,12.99,https://assets.dehner.de/new_product_list_normal/hundsrose/7921778_WE_DE_002_RosaCanina.jpg
23,Rosen,false,Persische Rosen,22.99,https://assets.dehner.de/new_product_list_normal/persische-rosen-verschiedene-farben/7815392_WE_DE_001_RosaPersicaRosePersica4LAllgreenRet.jpg
24,Kräuter,true,Kapizinerkresse,2.79,https://assets.dehner.de/new_product_list_normal/kapuzinerkresse-verschiedene-sorten/8000655_WE_FS_002_KapuzinerkresseMixT9.jpg
25,Kräuter,true,Schnittknoblauch,2.79,https://assets.dehner.de/new_product_list_normal/schnittknoblauch/8001380_WE_FS_001_SchnittknoblauchT9.jpg
26,Kräuter,true,Koriander,2.69,https://assets.dehner.de/new_product_list_normal/bioland-koriander/8001984_PR_FS_001_BioKorianderCoriandrumsativumDehnerExpressHerzig.jpg
27,Kräuter,true,Dill,2.69,https://assets.dehner.de/new_product_list_normal/bioland-dill/8001919_PR_FS_001_BioDillAnethumGraveolensDehnerExpressHerzig.jpg
28,Kräuter,true,Schnittlauch,2.59,https://assets.dehner.de/new_product_list_normal/schnittlauch/8001414_WE_FS_001_SchnittlauchT9.jpg
29,Kräuter,true,Rosmarin,3.79,https://assets.dehner.de/new_product_list_normal/dehner-gourmet-garten-rosmarin/8610206_WE_FS_001_GourmetGartenRosmarinBusch.jpg
